,product,category,brand,mrp,sp,discount,sku,description,url
113,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,220.00,175.00,20,40072471,Organic - Green Moong Whole,/pd/40072471/bb-royal-organic-green-moong-whole-1-kg/
114,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,435.00,339.00,22,40135845,Organic - Green Moong Whole,/pd/40135845/bb-royal-organic-green-moong-whole-2-kg/
115,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Combo,450.00,329.00,27,1206907,BB Popular Channa Dal 1 kg + Urad Dal - Split 1 kg+BB Royal Rice - Dosa 2 kg,/pd/1206907/bb-combo-bb-popular-channa-dal-1-kg-urad-dal-split-1-kgbb-royal-rice-dosa-2-kg-combo/
116,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Royal,180.00,144.00,20,40026594,Green Moong Split/Chilka,/pd/40026594/bb-royal-green-moong-splitchilka-1-kg-pouch/
117,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,219.00,159.00,27,40135844,Organic - Green Moong Dal (Split),/pd/40135844/bb-royal-organic-green-moong-dal-split-1-kg/
118,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,110.00,85.00,23,40072501,Organic - Green Moong Dal (Split),/pd/40072501/bb-royal-organic-green-moong-dal-split-500-g/
119,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,110.00,85.00,23,40072501,Organic - Green Moong Dal (Split),/pd/40072501/bb-royal-organic-green-moong-dal-split-500-g/
120,foodgrains-oil-masala,Urad & Other Dals,bb Royal,70.00,62.00,11,10000571,"Masoor - Black, Whole/Sabut",/pd/10000571/bb-royal-masoor-black-wholesabut-500-g-pouch/
121,foodgrains-oil-masala,"Toor, Channa & Moong Dal",Tata Sampann,190.00,182.40,8,30002287,Moong Dal,/pd/30002287/tata-sampann-moong-dal-1-kg/
122,foodgrains-oil-masala,Cereals & Millets,bb Royal,75.00,68.00,9,40053938,Popcorn - Seeds,/pd/40053938/bb-royal-popcorn-seeds-500-g/
123,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,279.00,229.00,18,40135856,"Organic - Red Masoor Dal, Unpolished",/pd/40135856/bb-royal-organic-red-masoor-dal-unpolished-2-kg/
124,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,140.00,119.00,15,40072458,"Organic - Red Masoor Dal, Unpolished",/pd/40072458/bb-royal-organic-red-masoor-dal-unpolished-1-kg/
125,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,140.00,119.00,15,40072458,"Organic - Red Masoor Dal, Unpolished",/pd/40072458/bb-royal-organic-red-masoor-dal-unpolished-1-kg/
126,foodgrains-oil-masala,Urad & Other Dals,bb Royal,130.00,130.00,,10000424,Green Peas/Matar,/pd/10000424/bb-royal-green-peasmatar-500-g-pouch/
127,foodgrains-oil-masala,Urad & Other Dals,bb Royal,250.00,147.00,41,70001283,Green Peas/Matar,/pd/70001283/bb-royal-green-peasmatar-1-kg-pouch/
128,foodgrains-oil-masala,Urad & Other Dals,bb Royal,130.00,130.00,,10000424,Green Peas/Matar,/pd/10000424/bb-royal-green-peasmatar-500-g-pouch/
129,foodgrains-oil-masala,Urad & Other Dals,bb Royal,90.00,51.00,43,10000436,Horse Gram/Kulthi,/pd/10000436/bb-royal-horse-gramkulthi-500-g-pouch/
